ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
965,Place du Millenaire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView965.html""; ""965"")",77.62,24615256,"[294020486, 282710317]","[3.889172, 3.890132]","[43.608313, 43.608243]",[77.62]
966,Place du Millenaire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView966.html""; ""966"")",38.91,24615256,"[282710317, 267582510, 282710980]","[3.890132, 3.890538, 3.890612]","[43.608243, 43.608213, 43.608204]","[32.89, 6.02]"
972,Rue du Jeu de Ballon,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView972.html""; ""972"")",95.52,24625749,"[256036880, 1811512077, 940786605, 1811512076, 256036881, 267700967, 1811512096, 256036882, 267700968, 1811512134, 940786647, 940786669, 940786514]","[3.885706, 3.885628, 3.8855560000000002, 3.88551, 3.885459, 3.885339, 3.885103, 3.884942, 3.884875, 3.88483, 3.884799, 3.884774, 3.88477]","[43.607192, 43.607183, 43.607174, 43.607178, 43.607191, 43.607243, 43.607354, 43.607421, 43.607456, 43.6075, 43.607538, 43.607581, 43.607613]","[6.38, 5.89, 3.67, 4.35, 11.29, 22.65, 14.94, 6.64, 6.1, 4.88, 5.2, 3.5300000000000002]"
974,Rue des Pertuisanes,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView974.html""; ""974"")",91.49,24634341,"[1811512174, 1811512185, 2279471939L, 940786421, 941353892, 942738810, 267782168, 942738814, 267782167, 941353857, 942738796, 267782165, 267782164, 1811512177, 1811512188, 1811512195, 2541578410L]","[3.884816, 3.884846, 3.884905, 3.8849650000000002, 3.885105, 3.885217, 3.885299, 3.885391, 3.885477, 3.88554, 3.885614, 3.885671, 3.885746, 3.885788, 3.885817, 3.885818, 3.885811]","[43.607668, 43.607678, 43.607676, 43.607673, 43.607647, 43.607633, 43.60762, 43.607606, 43.607597, 43.607596, 43.607601, 43.607612, 43.607637, 43.607658, 43.607686, 43.607724, 43.607746]","[2.69, 4.72, 4.85, 11.65, 9.11, 6.79, 7.5, 7.06, 5.04, 5.96, 4.74, 6.69, 4.1, 3.91, 4.16, 2.52]"
975,Rue des Pertuisanes,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView975.html""; ""975"")",21.16,24634341,"[2541578410L, 1811512198, 1811512210, 1811512221, 1811512232, 267782163]","[3.885811, 3.885807, 3.885771, 3.885748, 3.885744, 3.8857530000000002]","[43.607746, 43.607764, 43.607803, 43.607842, 43.607874, 43.607925]","[2.01, 5.19, 4.76, 3.54, 5.66]"
976,None-tertiary,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView976.html""; ""976"")",29.44,24634432,"[267693694, 941353841, 267842914, 941546287, 941546344, 941546290, 941546307]","[3.882054, 3.8820319999999997, 3.8819559999999997, 3.881846, 3.881811, 3.881755, 3.881738]","[43.609356, 43.609352, 43.609338, 43.609299, 43.609279, 43.609247, 43.609232]","[1.8, 6.33, 9.8, 3.66, 5.73, 2.12]"
978,None-tertiary,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView978.html""; ""978"")",66.43,24634432,"[941546311, 941546332, 941546291, 3742855030L]","[3.881703, 3.88173, 3.881779, 3.882355]","[43.609143, 43.609102, 43.609069, 43.608787]","[5.08, 5.37, 55.98]"
979,None-tertiary,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView979.html""; ""979"")",37.78,24634432,"[3742855030L, 942788736]","[3.882355, 3.882747]","[43.608787, 43.6086]",[37.78]
980,Allee du Tourisme,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView980.html""; ""980"")",42.55,24639835,"[267693694, 267842761]","[3.882054, 3.882578]","[43.609356, 43.609305]",[42.55]
981,Allee du Tourisme,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView981.html""; ""981"")",64.75,24639835,"[267842761, 940558441, 940558929, 267781265]","[3.882578, 3.8831439999999997, 3.883263, 3.883374]","[43.609305, 43.60924, 43.609231, 43.609242]","[46.13, 9.6, 9.02]"
982,Impasse du Jeu de Ballon,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView982.html""; ""982"")",58.87,24639917,"[267842757, 267842759, 267842761]","[3.883009, 3.882666, 3.882578]","[43.60968, 43.609542, 43.609305]","[31.56, 27.31]"
